Don't Stop Me Now,Queen,,,,16,,,,25,,,,,,17,,,21,,7,,15,,,,20,,,,13,,,,,,,,,,,,,,8,,,,9,,,,,,,18,,,,,12,,,,,,,,,11,10,9,5,5,12,,,14,,,10,,24,,,,,,,10,,,,,,,,,14,,,12,,,,,13,,,,,,,13.5,,13.5,,,17,16,13,,
Don't Worry Be Happy,Bobby McFerrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't You (Forget About Me),Simple Minds,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,15,,,,,,,26,,,,,19,,,,28,,,28,,,,,27,30,,20,,,,27,,,,,30,13.5,,28,14.5,25,,14,14,14.5,28,15.5,,,14.5,13,14.5,,14.5,14.5,,,,,,,15,,16,,,15
Don't You Want Me,The Human League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream A Little Dream Of Me,The Mamas & The Papas,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreams,The Cranberries,,,8,13,25,,28,,11,6,19,,5,9,6,,10,,,,,14,,11,,25,8,,,11,6,,,11,25,6,,,,,,,7,20,,26,26,,25,,,,,,,4,20,,13,,,,,,,,21,,,,,,,22,,,,,,15,12,5,,11,,13,14,19,,,,26,,,,20,14,,14.5,10,15.5,14,,14.5,,,,,,,,13.5,14.5,,,15,,,,,
Driving Home for Christmas,Chris Rea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter Sandman,Metallica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,,,,,,,,,
Every Breath You Take,The Police,,18,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,,,,,,,,,
Everybody (Backstreet's Back) (Radio Edit),Backstreet Boys,,13,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
